DeployID,Ptt,Received,LocationQuality,Latitude,Longitude,Transmits,BattVoltage,TransmitCurrent,Temperature
20992,80435,12/09/2009 02:49,1,47.67599869,-122.1329956,128,3.36,0.312,21.63
20992,80435,12/09/2009 02:51,1,47.67599869,-122.1329956,128,3.36,0.308,21.73
20992,80435,12/09/2009 02:53,1,47.67599869,-122.1329956,128,3.36,0.312,21.73
20992,80435,12/09/2009 04:09,1,47.6780014,-122.1329956,16256,3.792,0.316,4.49
20992,80435,12/09/2009 04:10,1,47.6780014,-122.1329956,128,3.36,0.312,21.07
20992,80435,12/09/2009 04:12,1,47.6780014,-122.1329956,4992,3.408,0.696,4.41
20992,80435,12/09/2009 04:14,1,47.6780014,-122.1329956,128,3.36,0.312,20.61
20992,80435,12/09/2009 04:15,1,47.6780014,-122.1329956,128,3.36,0.312,20.52
20992,80435,12/09/2009 04:16,1,47.6780014,-122.1329956,128,3.36,0.308,34.87
20992,80435,12/09/2009 04:17,1,47.6780014,-122.1329956,128,3.36,0.312,1.84
20992,80435,12/09/2009 05:44,3,47.6780014,-122.1349945,384,3.36,0.312,19.06
20992,80435,12/09/2009 05:46,3,47.6780014,-122.1349945,384,3.36,0.308,19.06
20992,80435,12/09/2009 05:54,3,47.67699814,-122.1349945,384,3.36,0.308,18.97
20992,80435,12/09/2009 05:56,3,47.67699814,-122.1349945,384,3.36,0.312,18.88
20992,80435,12/09/2009 05:57,3,47.67699814,-122.1349945,384,3.36,0.312,18.97
20992,80435,3/28/2010 18:52,1,71.32900238,-156.6269989,384,2.768,0.176,-17.63
20992,80435,3/28/2010 19:41,3,71.32299805,-156.6699982,640,2.816,0.18,-13.85
20992,80435,3/28/2010 20:30,3,71.3239975,-156.6660004,640,2.816,0.18,-14.26
20992,80435,04/02/2010 18:48,2,71.41799927,-157.5829926,640,3.152,0.26,2.25
